time,CP3,C3,F5,PO3,PO4,F6,C4,CP4
0.0,"[-21.367229302514158, -20.079214225811235, -13.607476550092462, -6.120588658152823, -0.7891345922212132, 1.218898049966846, -0.2079599316314713, -2.833354535104143, -3.370077023655691, -0.45462379889830196, 4.425106462851501, 8.954822889260377, 11.058710617584207, 9.350760633135248, 4.757506318672118, -0.31164485980737755]","[-13.798732865172996, -14.28382614134968, -8.634743781528094, -1.2471197397745755, 4.2040442981606, 6.136164597862139, 4.404532938860688, 0.42466510000800073, -3.750484602023926, -6.108532525588018, -7.248089387161576, -9.630820914004614, -13.145499645570464, -14.467697367012878, -10.81214285667806, -3.4598628652460657]","[3.374025281384082, -2.0918769228473746, -1.9661696893707674, 2.672137832656663, 9.291724149210689, 14.485524075752199, 14.976098613987354, 10.889359593186494, 4.8238364838653425, 0.2605315397883827, -1.8843797368121944, -3.1329103165138434, -3.502236144163451, -2.9638534182002463, -2.330811306653893, -2.06503916639174]","[-7.610491527441884, -11.62854408862346, -10.625930393551581, -6.85253711654362, -1.9876066463268351, 4.0634703816303, 9.208731084245304, 9.964138322759348, 6.693932275718349, 3.3783217284051004, 1.3351388476268804, -0.6004314612546638, -1.1161233018226584, 1.9624986141594856, 6.761108919019341, 9.266160087169881]","[-15.22907839114352, -19.586354318099445, -17.783513070360314, -11.522155362503106, -2.856062869888138, 6.78176059912872, 13.823636249511345, 14.992664242843773, 11.335563335732246, 6.658249933059482, 2.582743890656915, -1.4327197534884473, -3.9730090069921604, -2.91400608580331, 0.7088155919387402, 4.020990117226398]","[-22.314277076507356, -15.088923732326375, -5.353782187472568, 2.218069437985843, 5.625053691117606, 5.110758361245825, 1.4216101970282402, -2.251386207038294, -4.468583300366401, -5.598736123329179, -6.598757915157268, -8.842911444831252, -11.764647518190518, -14.924135410792367, -16.876940612923917, -15.757775493718915]","[-3.120386962780122, -0.8969050713713234, 2.7618381591947863, 4.188668607882114, 3.096832337768843, 1.3147234346364947, -0.760736886849056, -2.4618416522201496, -3.4925586048129986, -3.4601226845563833, -3.3945275022608943, -5.169619320081006, -8.391008446162015, -12.155119968413194, -14.845071504283727, -15.0294088591593]","[-26.32727915680801, -23.156560989833086, -16.016831022968255, -8.551647575854581, -3.2258491376873675, -0.8332578469938401, -1.0640001912497414, -2.2499130295560983, -3.127385105629866, -2.4017917256011234, -0.018228241506874632, 2.585136775294787, 4.006773575028904, 2.9660155122085374, 0.2097001920858066, -2.499291855615752]"
62.986083984375,"[-3.522836118730064, -3.4561495428349223, -1.1470219399147616, 1.3899039881348951, 4.868452356079352, 12.397615093802397, 24.80962758833582, 37.79622832700436, 45.31681062514075, 42.51925696446442, 25.227063238904243, -5.590047308268055, -40.13795375024197, -65.72566865200935, -75.01303848949078, -68.3228610716917]","[4.751978308848823, 11.45284579300331, 13.437797188104568, 9.924823978410618, 4.361408344558189, 1.8703474957902468, 6.011980735575349, 14.06488209722956, 19.264112412680486, 17.731364309180496, 8.479791397292281, -7.72493002911181, -26.49415335559926, -40.6237150026018, -46.14351960815851, -45.53240850268754]","[-1.7026687618178524, -0.2371466777998692, 1.6576672313421525, 2.2498426941017495, -1.5561356976624552, -13.586669857959269, -32.7612054071279, -54.375206422962115, -72.770387335392, -80.18305604687689, -72.33721947196794, -52.7309448340046, -29.484326350980474, -9.97809072373164, 2.7422699284046264, 9.669470037278352]","[9.741321418156854, 9.823484880834386, 8.141587128079872, 5.5191760507413665, 4.742928343680891, 7.352562748309765, 14.08774274491594, 21.020329252854424, 22.044640820107677, 15.632472108309237, 2.7680551387043373, -14.566493793374384, -31.249520218178798, -40.985418139778304, -42.11028206062741, -37.93855470137302]","[6.488551188234128, 8.329589602024136, 8.072196561043912, 6.4929452830366685, 6.126628144306382, 9.383572376139682, 18.37042574132936, 29.10834131284134, 34.26959639705363, 31.535630021367417, 21.513639757863515, 5.14707719059966, -13.013526645197365, -25.529184054870683, -29.764869451084046, -29.059496965645966]","[-13.191514979261068, -10.698994564524183, -8.692748667201155, -6.808809209901849, -2.2321608081172677, 7.819847308815813, 23.85173083119394, 40.892173422002166, 50.950756324760256, 49.182817889322074, 32.40493180458409, 2.1575036804707395, -32.29243208410058, -59.470807594726324, -71.47346829046442, -68.3344158704698]","[-13.303325982687783, -10.252826372854173, -6.879186639071648, -3.6738230594772503, 0.8832593196683867, 8.648476683977718, 20.445771343208285, 32.689983069709925, 39.04351932229473, 35.45581681754937, 19.87892562792227, -5.159947020177668, -31.884827075102933, -51.65445946554881, -58.864603345546215, -54.628490756154335]","[-3.870993036491395, -2.3933718803393305, 1.5284589560822148, 6.501612385967738, 13.098111467800361, 22.807079752664784, 35.150022792857705, 45.66313115733414, 48.895739270150216, 41.099322823812585, 20.02521419024002, -10.971825359832902, -41.81493190570441, -61.707729086945605, -65.42584836353586, -55.59457313280199]"
125.196044921875,"[-50.96964421698807, -31.34909907670319, -17.111231825641003, -10.20396194771529, -7.8511152624641, -5.730357984591599, -1.5651724553494777, 3.547200602094751, 7.415323885641814, 7.781842843180495, 4.6042738707728645, 0.26286554884722513, -2.811100302791722, -2.418390795986763, 2.1592985302326073, 9.630083364119802]","[-42.05087066515598, -36.6590365322223, -29.863921055271263, -21.43915995337411, -10.048693669540931, 4.989545929722454, 20.12643555204768, 29.543795564472177, 30.576742716410966, 23.92934257571533, 13.730522418753456, 5.240932628770972, 1.4297599055721406, 3.0248307026250663, 7.286073875486353, 10.691020256191408]","[14.599597307681101, 20.202399187975647, 26.439433985970535, 33.18814368812667, 39.35217126538756, 43.73844017955474, 45.924577019086655, 45.56804362034936, 43.30090280837141, 39.11874211150524, 33.657907056380026, 28.39248220449297, 23.40723258362174, 19.14204169410513, 15.546448945725206, 12.615675273246232]","[-31.11819638358757, -22.68520204405104, -14.052679005081034, -6.521253467493199, -0.11102236518142483, 5.337593251133798, 8.125293267834124, 7.224474647302777, 4.029756549107519, 0.7334454290416232, 0.21513919720093888, 3.1699068447362766, 7.135600277951102, 9.8467997112895, 9.248174071489998, 5.241827883294812]","[-26.15864133374513, -21.828035973200905, -16.922823561593226, -12.499079947366578, -7.95502367276619, -1.996456238718726, 3.6598826789230094, 6.086565935826757, 4.70990184360158, 1.5468071113191604, -0.3573901473473917, 0.05444788539251366, 1.9729083357558315, 4.520338544818312, 5.791590417463253, 4.4025256669462]","[-55.09208662257887, -38.46238738577526, -25.23788297646574, -17.063907046752547, -11.961793247678267, -6.965973231026838, -0.7323126899694685, 4.582597600932289, 7.826700725035659, 8.357560986111366, 6.91741557821717, 5.94294659259918, 5.466919241713583, 6.16642340743341, 8.621501031998179, 11.862286932022675]","[-43.85772974955682, -32.066600404297546, -23.51131812374389, -17.601915637938017, -11.743891655073543, -3.77236627358055, 5.684047935512812, 13.026816845028572, 16.72448859035259, 15.918060498242554, 11.604215696406754, 7.077915181249196, 3.5812787893373503, 2.1937880683833564, 2.7924678709078776, 4.237824096208763]","[-39.42665901132302, -25.322339974267855, -18.389966295691476, -16.992665726993806, -16.11571292897163, -11.154819573873857, -1.8523229049925654, 7.954401905091846, 14.942114645635053, 16.618266791604192, 13.708417138243671, 9.709415360677053, 6.585671241553413, 5.759248777945838, 7.695251193118672, 11.222325825450282]"
187.609130859375,"[17.28851779481841, 23.399622089755788, 28.508244814901204, 31.441434522254788, 30.21657816077562, 25.494891516427753, 18.33094439987288, 9.17614351170985, -0.07902995587876305, -6.4659349951757665, -9.442365725544342, -10.745742395959606, -10.615815837282717, -7.285977058723455, 1.7629474882024931, 17.19873240876732]","[12.573552865150182, 14.1223545961625, 17.01445207104549, 21.460902342440004, 26.0817163773979, 27.670193229936974, 22.909173661838352, 13.083496754000993, 1.4710411394947727, -9.001644918613087, -14.887457047844398, -15.740653971701757, -13.695924811610826, -9.199919936746067, -0.6130581637274108, 12.424556348822914]","[11.668245200347032, 13.84443814570158, 19.896303689145284, 27.301585903796482, 31.653965514984165, 31.23011351087431, 26.038756988633416, 17.224098500641794, 6.84839735634856, -2.0884002797002665, -7.526282719336975, -10.730349409297045, -12.256489351797157, -12.785963792015801, -18.114442541622658, -34.291231196325455]","[1.1934254201572108, 0.524092831895155, 4.735063423896467, 12.413745135417594, 19.046628124023965, 19.517946407987697, 12.669180490605116, 2.352677769717477, -8.055655204147458, -15.380319324474812, -15.749190698269553, -11.147982082437357, -6.421352531691232, -0.959936097972542, 9.20169616793838, 24.13248858898347]","[2.1520307843745337, 1.9398223501582272, 4.905953006371744, 9.930251882633252, 14.354482905611272, 15.20318357775163, 11.783412714653295, 6.786695312251926, 1.5512736323081304, -3.799753872271153, -6.874935610654715, -8.01218901226142, -9.638087143971955, -9.190369284327392, -1.3072349534473924, 14.333372425119538]","[15.712270405220035, 20.357365942873795, 26.799480639781663, 32.56559306178711, 33.12783846792837, 28.721343067640397, 21.01493935978006, 11.98562218601507, 5.182255887914813, 3.8475584769873947, 8.364986211450443, 14.548756779469556, 19.880093645204724, 25.705501258980085, 33.092404080899, 42.70374411733438]","[6.8843923004025465, 11.034321117516708, 16.62747566387987, 20.979923917151424, 21.119548079033866, 16.96608946990804, 9.214079844890207, 0.8271498029113811, -4.603011524257381, -5.116436391110357, -0.8009167465244893, 4.517364093662817, 8.31263145771824, 12.211318390086538, 19.180900417932957, 30.89945317633797]","[14.36443474760412, 16.443936710225884, 18.87071420704106, 19.673829323892946, 15.963634619958196, 9.525004934024922, 2.5499813701464475, -4.409925362840555, -9.946508207576137, -11.398374033919982, -8.613857212378697, -4.730521644482124, -0.5903719221045236, 5.318781045186112, 14.401323734440304, 27.320993521199142]"
250.363037109375,"[34.97961561294629, 48.28165568954049, 50.67038922089075, 38.25976226191608, 13.191472565566912, -15.828331703501767, -38.172493638552254, -47.29724884939691, -43.617448357572144, -32.437725127186994, -20.457176578971897, -12.049938613019364, -7.837388407989451, -6.772686390026584, -6.183263778020997, -3.341591984128671]","[26.664980806393466, 37.64480521719091, 40.797498883545664, 31.691483253749595, 10.83312407308668, -13.94840364339902, -32.23476927743575, -38.041037554635864, -32.509674500501674, -20.378034299307906, -7.061494981541742, 2.3342210871735, 5.504573159877703, 4.0019466979270675, 0.510863534939487, -4.212597671134602]","[-59.633885570433506, -85.21510574333308, -101.76825945044223, -101.53153336749564, -78.8792671069418, -38.97730938447718, 2.3995491290825868, 32.195532795767846, 46.69476038508351, 48.77072129181681, 43.75684544762217, 37.62281381373452, 34.82619498438817, 35.23699602107477, 36.103413738836835, 34.96276759008646]","[38.606185609973124, 47.34919660377807, 46.21963554260333, 31.86663451553778, 7.039235621635399, -17.902820028957155, -32.09261433947701, -33.00097453964592, -26.44720577707919, -18.155160707314337, -11.481402397464961, -9.306440476241294, -10.8146170507673, -11.324367446818407, -9.137456600450808, -6.9268549900428615]","[30.955743629116547, 41.36293462679561, 41.37283113736244, 27.909272678309446, 2.8860131879027833, -23.315969809523335, -38.8597187725548, -40.69932576561092, -34.036355649926406, -24.045707604293558, -14.267499830209402, -8.23208017402202, -6.529164807354013, -5.775136545413524, -3.8981914992568463, -2.162698607915533]","[52.50957648436153, 57.906719620000345, 53.86393325245799, 36.13213246007819, 7.272310189626388, -23.97922396925048, -48.1106308516674, -57.78351504610178, -52.84604433793004, -39.47056029702374, -25.67567753449228, -16.724059392315304, -12.17495815792944, -10.490813924695999, -9.79196432391485, -8.205602204149418]","[44.53958620568101, 54.67918309347513, 55.23793349628911, 40.83151109995076, 13.51278973348085, -16.797414047352873, -38.70447773031492, -45.40026793117278, -38.37510502484456, -24.479657610675275, -12.243917177992206, -7.317769096537355, -8.512501862029627, -11.55624423855109, -12.121027183526186, -8.550784334289553]","[41.41215349283485, 51.5871136128317, 52.24769347542587, 39.074316912072376, 13.518067838214883, -16.76986866052563, -41.57695516234273, -53.21193897483403, -50.58019057109718, -38.44166620060555, -24.473543474588705, -14.078188284764586, -8.10905103799424, -5.696240858846931, -4.280605560700078, -1.3383851852131698]"
312.760009765625,"[1.450074381850719, 6.169771309931013, 9.002218287317277, 9.1147922407063, 5.827427748573439, -0.8822101511563076, -8.491517759012517, -14.221385895505552, -16.59475790502202, -15.572144240259702, -11.960406281249288, -6.288869584733165, -0.8185177291614885, 1.6854643057899494, 0.275640114489514, -4.737884093383467]","[-8.594110057966155, -8.660470079718769, -3.008291332398086, 5.932269235625485, 13.382533984857023, 14.440104303926045, 7.304630930024343, -5.883776622785554, -18.01900898930856, -21.39952516907112, -13.756119191065991, 1.7603599629740287, 17.661978598168687, 26.700418471619827, 25.83828358036517, 16.986606047892714]","[31.806753963319927, 29.179057527150803, 27.5229331147437, 25.563950776689104, 21.85860220114168, 14.55608208063002, 4.284275843801, -6.404748971389694, -14.13304940114878, -15.947187204270653, -11.365101845628434, -2.26257085181353, 6.165187696810845, 9.531960642792562, 7.52785735662099, 1.5908628168971397]","[-4.788564392560024, -0.7953876617173252, 3.836961130000236, 6.743385503078383, 5.6669506424823215, -0.4209954275952228, -9.2991350533735, -17.557501713036036, -21.182643127568795, -16.943271484598696, -5.97148477313517, 5.8013754536889826, 11.878528633504676, 10.930925222338386, 4.964301114411596, -3.188338192459788]","[-0.46850635518653716, 2.557153135283955, 6.528387839692689, 9.210355608087077, 7.087432115696452, -0.7653528155038849, -11.221676779669442, -20.615599759307564, -24.99504514951359, -20.39911733500672, -6.991837165865046, 8.838885092585006, 19.377368503284135, 21.84814574323174, 17.055931120414495, 7.249799569305912]","[-6.366492455470439, -4.715418683476003, -3.965099616634131, -4.08028050390419, -4.469450584771295, -6.666871063051428, -10.571945631519522, -14.659940035623883, -16.870088174814, -15.740168047184493, -12.581456274177938, -8.306390890076454, -5.731096555049945, -7.716464815255062, -12.076771332252012, -15.512219126305684]","[-2.438904287311672, 4.700252227345317, 9.991984874942993, 11.097826372667114, 7.732881747711329, 0.2118055476381091, -8.860789616737588, -16.730515002122242, -20.444735557866014, -18.203533691358984, -11.934176940686871, -3.702540491087788, 3.175347144820364, 5.883328175653407, 4.532416361991905, -0.16881895358206123]","[3.1275892769531666, 7.775750465533933, 10.782712789371724, 11.462445320556768, 9.041263630321906, 2.553615125984304, -6.140862346298866, -14.448221810342128, -20.14940427421506, -21.752351359674662, -19.004030462468265, -12.298194053036891, -4.9548125979460735, -0.05145862352130237, 2.382320632152995, 2.726746832835902]"
375.151123046875,"[-11.358008764656162, -16.613700672145043, -17.63502273139134, -13.376488215279375, -5.997935554638605, 0.7756084828304477, 3.809424827574796, 3.1782209922587796, 1.9362484382099865, 2.814955246548367, 6.736669331866773, 12.47886090217988, 17.232469421283177, 18.150439124231866, 14.755732544103516, 10.371567733202701]","[6.477517112457578, -0.4725032275463743, -2.536942646052262, -1.615446144884796, -1.1783821117291975, -2.3497696657263307, -4.736773632267713, -7.120011844181459, -6.341794337368983, -1.2542773985190152, 4.4574877764124885, 6.111287373047006, 3.310418310027785, -2.0417916395848206, -9.02357499025571, -14.303120413891756]","[-5.163554964930114, -10.569996171490057, -14.390375328749474, -17.114252590150922, -20.503236957010998, -24.499607304089864, -27.49388517325972, -29.051555815649515, -30.04806608176583, -31.706910428900386, -33.270099072149236, -34.28406865727561, -34.88380179096637, -32.567502210717464, -25.8756642411928, -16.12281351379]","[-8.49422122825594, -8.116416847619108, -4.224542460716323, -1.0531031018611814, -1.3274522630849244, -3.6914870401821673, -5.6980058282162815, -5.758638548106258, -1.0588463068010903, 8.26884485963981, 15.6553498740446, 15.899333320911467, 11.160077849726932, 4.522166746372884, -3.384683495211883, -9.053589721688754]","[-2.3859611948785435, -6.865559617369226, -5.722438982111066, -2.0210640550462964, 1.289469209450497, 3.750637384053423, 5.383927207297687, 6.264368672862154, 9.281156976496616, 15.693219670691043, 20.542841768429337, 18.86944938628654, 11.51433980312729, 0.7900538411802334, -12.202304870060633, -22.585451461369225]","[-15.014252668630657, -10.154306992857313, -3.356179255414487, 3.043847634411213, 5.396616981429318, 2.2588053830825183, -4.3595574271342485, -11.406456007671164, -15.001141492765939, -13.458291935166521, -6.791903456487088, 3.22862353813251, 12.397387936992107, 17.7528332247185, 17.67080105001923, 13.709872465011097]","[-5.208905368025723, -8.607510681961493, -10.794284113303227, -11.526249877176562, -11.365380845433048, -10.71158628606913, -9.830097569561033, -8.246951518649603, -3.8972281489604317, 3.039213588333329, 10.242950959225334, 14.913048009192957, 15.498307396671017, 12.55273477841007, 6.65150284958562, 0.8582405393293637]","[2.203071578762671, 2.351472439053847, 4.4631491165500154, 8.37105905943356, 11.104979181324897, 10.177635394378214, 4.823741612411034, -3.0745970049612588, -9.002561083645347, -9.379718119416395, -2.613668088263683, 9.396183125047218, 21.274303570463307, 27.611907234916742, 25.680247465113624, 17.94130520893433]"
437.879150390625,"[8.774992299612352, 10.704344516582305, 14.686120824324709, 17.594034958101496, 15.54524474995176, 7.5723504595879945, -3.276596309110179, -12.269320327617727, -15.288918774942502, -10.391863515447017, 0.8302992956227158, 13.037385580573758, 20.33570368051989, 19.66609167436514, 12.321194024818404, 3.022020223833816]","[-13.79247167636335, -8.732159609062094, -3.7739643356751946, -1.4079014651869244, -1.254973654962852, -3.247552548127759, -6.472216115828376, -7.5761262512497005, -6.122428205426353, -4.101375982944843, -1.1552696691566124, 3.00191430669571, 7.277232291311499, 10.086493183164261, 9.912299419060849, 6.6003184451141195]","[-5.01553656836772, 5.592764211109186, 13.994307421477956, 18.44274729247389, 18.352405065723744, 14.674453877776592, 8.677080572448617, 2.7219568345451552, -1.69735824733295, -4.0716015402121, -3.1307051795267222, -0.13151605102248176, 2.0289791094373477, 1.775690015367383, -1.399164998411477, -6.338549504150373]","[-9.070881501990364, -6.009168703122918, -3.6359350327369957, -1.3477305641194581, 2.626358949556712, 6.007268907420149, 7.327139302858155, 8.535179976525814, 7.663792539350803, 3.5292755516398024, 1.324624564049591, 4.2719665079477345, 10.542867744320093, 16.169269580022885, 17.509823061663703, 13.204433667058975]","[-24.610843777253148, -19.18803166343502, -11.320288241868312, -3.8605811643347803, 2.365648586884283, 4.48656035807393, 1.9256596572360634, -1.1687122661034062, -4.26780947029512, -7.649946054978004, -7.396403359931152, -1.7331955621295636, 6.9025003476846, 14.041242044787651, 15.950071612400954, 11.554577239979508]","[10.283712687314136, 9.077276913422462, 9.946471985202997, 11.246082696954048, 10.708134961071563, 8.943156870826801, 7.341502350169925, 7.577902719338693, 10.672404826799937, 15.511814099861706, 20.380908811854052, 22.220730160718126, 19.747218642046704, 14.532653931071618, 8.427825522300754, 4.2083962590654895]","[-0.6444066753510853, 1.801325745431928, 4.975301817961435, 5.448047281987705, 1.85659193586697, -4.173353028227819, -10.313530298409173, -13.36584133257272, -11.431634639018803, -5.142069535814414, 3.8667764561057414, 11.668109064479252, 15.596290729098161, 16.2901391057243, 14.999254067900347, 13.237763590433007]","[9.578302066299209, 4.115758304002538, 2.715886548701678, 3.143564858423961, 1.8922152165403885, -2.020401623310743, -7.151867800620142, -10.39306799475413, -8.76921214397105, -1.4337594244504288, 9.311243833096176, 18.30712722327508, 21.243291056213195, 16.592034058166902, 6.087027586709693, -5.775850132969053]"
500.369140625,"[-3.845652309507832, -5.902434810266923, -3.953284666787578, -2.0170542941646374, -3.2970411951752925, -7.74586236243514, -12.517421944013371, -15.05138531416926, -14.686074356531352, -11.693281083475467, -8.177202716236046, -6.166423757402951, -6.052405860440042, -7.244918238870344, -7.3893127489161525, -4.299633983269922]","[0.9796704153515705, -4.867229872672159, -8.863926384695164, -10.030768297785322, -8.103244445599373, -4.735864954106501, -1.1878374035905832, 1.9358124831520485, 2.71455875549378, 0.24140784876686916, -5.059623458624429, -11.454365369268205, -16.225220211523332, -17.28336187489792, -13.742478273249313, -7.560051380011086]","[-11.143925784247322, -13.6958614599516, -13.061402659766463, -10.763797134722925, -9.05616319967573, -9.92195350178566, -12.257220373290162, -13.37184503299111, -12.337281469947367, -7.858391223857068, -0.42551329897838386, 6.752859615633092, 10.500090570202506, 9.425082415704448, 6.265966463739164, 4.3478429891135235]","[4.454804681350321, -4.584911786197198, -9.782596268581399, -9.571766005417079, -5.382179618292488, -1.2197578257798023, 1.0401041679662768, 1.6906590630840173, 0.36588712386973876, -2.421291093410812, -5.629594753439427, -7.677780546068327, -6.579520183443808, -2.399661435472723, 2.8281164294220495, 6.968499270518453]","[1.8603888633539576, -9.540978606697788, -17.78503223053152, -19.670666799466197, -15.938806859099667, -9.764520076117611, -2.38835322017149, 5.2780101835555, 10.737696318263815, 12.704927363085497, 10.961446608207446, 6.034808745719282, 0.995226415348256, -0.9158643691420343, 0.3017541365620433, 3.2276999658450958]","[2.803101187726419, 3.7021582090133958, 5.679380000579247, 5.7489507212057624, 3.025071235257929, -2.4517041098644796, -9.225848938324509, -13.633916161812746, -14.327019139771547, -11.39548840774614, -6.2065047365065436, -0.5194141088857425, 3.8245424679114812, 4.297743847520962, 3.381072799164346, 5.30850395562749]","[11.594511421435165, 10.764190895738079, 10.134093238861997, 7.106811791837486, 1.8773527094018494, -3.7719929645640384, -7.1731724730725235, -6.6698933904620095, -4.056459403448375, -0.4050907125507428, 2.422486192103939, 2.060140597274845, -1.7190998905612114, -7.9466425274103685, -12.831633429368125, -13.535683060727461]","[-15.047148263002178, -18.987381066931103, -17.409359322271065, -13.117998473423809, -9.100687276411287, -8.044909024780289, -10.237609469227127, -13.764735456233607, -16.80597440396523, -17.322745599032604, -14.98829708997678, -10.669470112439019, -6.152213401663834, -3.8136109129782536, -2.32561830409799, 1.3954490351790625]"
562.733154296875,"[2.3941606512579443, 11.201781388302189, 19.307311016438867, 24.166196052721897, 23.48510297824363, 16.410471414584414, 4.804451006832085, -7.319156479185929, -15.056094066648965, -15.524150748990582, -9.232844308107229, 0.44293928082277745, 8.659721277408872, 12.06351390253791, 10.437153413676729, 5.8528685269529745]","[-1.5335471916116195, 2.4651744626881587, 3.2285553249389416, 2.0737483895719753, 0.20537354632951477, -3.190579983721509, -8.298501346658357, -13.816619865881815, -17.14322672465663, -15.662742166293572, -8.821450451254087, 0.5257129586039149, 8.304573628304489, 12.516496480883717, 12.37626994864739, 8.884897737680118]","[3.7766351394029662, 2.3698641265847797, -1.1517465482688607, -5.223749325053251, -9.37220413773693, -12.577646924572537, -11.294856897451991, -5.346608652368065, 2.8267431966725702, 11.389902446682667, 18.74119826827699, 24.01264900134381, 26.642546291920706, 26.02332591103052, 20.638382557384816, 9.431454612458545]","[9.646704454051589, 11.13089241983899, 11.60504974077067, 12.569813197188141, 13.238990407658102, 9.933602536305933, 1.9388187586304202, -7.592240649822463, -14.713861874814192, -16.339809342918457, -12.089325604903745, -5.8777392800073525, -2.125723249175321, -1.5239220425413513, -2.913222915876127, -4.501060385715884]","[7.526777975662718, 12.139474707971312, 14.939329957297229, 15.645703100741645, 14.103504734314393, 8.28367940465986, -1.9346841786543294, -13.323397121525899, -21.467733661585523, -22.578445531823796, -16.310933540672945, -6.72881753274882, 1.8907579106944876, 7.743174368797156, 10.223794803573462, 10.860049962147809]","[10.907744603885725, 19.016880586150666, 26.06052537141388, 29.276839283175928, 26.541295709882018, 16.27908415945188, 1.5529639394816188, -12.650302584889902, -21.45738426045063, -22.404945240991793, -17.40728602744897, -9.50545742956516, -2.7832032604606276, -0.07751384903708392, -0.9732291406268168, -4.809196093727756]","[-9.857670911190123, -2.3606839220070945, 5.9992375540713745, 12.245458225147253, 14.077286220990295, 10.3132417516306, 2.349665726448021, -7.103562966719117, -13.574109991182459, -14.34628513910696, -10.585279488245128, -4.370075946619336, 1.5601630188809175, 5.161159099153589, 5.84588682153505, 4.306720557182231]","[8.84183124591565, 18.96096709442017, 27.837088223613634, 31.64939010956707, 27.654102982213995, 16.118032326433063, 1.395106143483071, -11.202577688948402, -16.96925824165585, -14.842857020592994, -8.263130628481942, -1.4407292044079796, 2.7810971959135564, 4.134068047043407, 4.111848518733225, 4.36303678170486]"
